,187.932,165.400,93.000,-Inf
0,187.932,165.4,93.045,-inf
1,187.932,165.4,93.061,-inf
2,187.932,165.4,93.081,-inf
3,187.932,165.4,93.099,-inf
4,187.932,165.4,93.115,-inf
5,187.932,165.4,93.13,-inf
6,187.932,165.4,93.15,-inf
7,187.932,165.4,93.166,-inf
8,187.932,165.4,93.181,-inf
9,187.932,165.4,93.198,-inf
10,187.932,165.4,93.22,-inf
11,187.932,165.4,93.238,-inf
12,187.932,165.4,93.253,-inf
13,187.932,165.4,93.269,-inf
14,187.932,165.4,93.289,-inf
15,187.932,165.4,93.304,-inf
16,187.932,165.4,93.319,-inf
17,187.932,165.4,93.338,-inf
18,187.932,165.4,93.354,-inf
19,187.932,165.4,93.37,-inf
20,187.932,165.4,93.387,-inf
21,187.932,165.4,93.408,-inf
22,187.932,165.4,93.422,-inf
23,187.932,165.4,93.437,-inf
24,187.932,165.4,93.456,-inf
25,187.932,165.4,93.472,-inf
26,187.932,165.4,93.487,-inf
27,187.932,165.4,93.503,-inf
28,187.932,165.4,93.523,-inf
29,187.932,165.4,93.537,-inf
30,187.932,165.4,93.552,-inf
31,187.932,165.4,93.572,-inf
32,187.932,165.4,93.591,-inf
33,187.932,165.4,93.605,-inf
34,187.932,165.4,93.622,-inf
35,187.932,165.4,93.641,-inf
36,187.932,165.4,93.657,-inf
37,187.932,165.4,93.672,-inf
38,187.932,165.4,93.689,-inf
39,187.932,165.4,93.707,-inf
40,187.932,165.4,93.722,-inf
41,187.932,165.4,93.737,-inf
42,187.932,165.4,93.758,-inf
43,187.932,165.4,93.775,-inf
44,187.932,165.4,93.79,-inf
45,187.932,165.4,93.807,-inf
46,187.932,165.4,93.825,-inf
47,187.932,165.4,93.84,-inf
48,187.932,165.4,93.855,-inf
49,187.932,165.4,93.875,-inf
50,187.932,165.4,93.889,-inf
51,187.932,165.4,93.904,-inf
52,187.932,165.4,93.924,-inf
53,187.932,165.4,93.943,-inf
54,187.932,165.4,93.957,-inf
55,187.932,165.4,93.973,-inf
56,187.932,165.4,93.993,-inf
57,187.932,165.4,94.008,-inf
58,187.932,165.4,94.023,-inf
59,187.932,165.4,94.041,-inf
60,187.932,165.4,94.059,-inf
61,187.932,165.4,94.074,-inf
62,187.932,165.4,94.088,-inf
63,187.932,165.4,94.109,-inf
64,187.932,165.4,94.124,-inf
65,187.932,165.4,94.14,-inf
66,187.932,165.4,94.158,-inf
67,187.932,165.4,94.177,-inf
68,187.932,165.4,94.192,-inf
69,187.932,165.4,94.207,-inf
70,187.932,165.4,94.227,-inf
71,187.932,165.4,94.243,-inf
72,187.932,165.4,94.258,-inf
73,187.932,165.4,94.276,-inf
74,187.932,165.4,94.295,-inf
75,187.932,165.4,94.311,-inf
76,187.932,165.4,94.326,-inf
77,187.932,165.4,94.345,-inf
78,187.932,165.4,94.361,-inf
79,187.932,165.4,94.376,-inf
80,187.932,165.4,94.392,-inf
81,187.932,165.4,94.411,-inf
82,187.932,165.4,94.426,-inf
83,187.932,165.4,94.441,-inf
84,187.932,165.4,94.461,-inf
85,187.932,165.4,94.48,-inf
86,187.932,165.4,94.494,-inf
87,187.932,165.4,94.511,-inf
88,187.932,165.4,94.53,-inf
89,187.932,165.4,94.545,-inf
90,187.932,165.4,94.561,-inf
91,187.932,165.4,94.577,-inf
92,187.932,165.4,94.596,-inf
93,187.932,165.4,94.611,-inf
94,187.932,165.4,94.626,-inf
95,187.932,165.4,94.647,-inf
96,187.932,165.4,94.663,-inf
97,187.932,165.4,94.678,-inf
98,187.932,165.4,94.695,-inf
99,187.932,165.4,94.715,-inf
100,187.932,165.4,94.729,-inf
101,187.932,165.4,94.744,-inf
102,187.932,165.4,94.764,-inf
103,187.932,165.4,94.779,-inf
104,187.932,165.4,94.794,0.442
105,187.932,165.4,94.813,0.422
106,187.932,165.4,94.832,0.406
107,187.932,165.4,94.847,0.389
108,187.932,165.4,94.863,0.365
109,187.932,165.4,94.882,0.345
110,187.932,165.4,94.898,0.326
111,187.932,165.4,94.913,0.305
112,187.932,165.4,94.929,0.283
113,187.932,165.4,94.949,0.274
114,187.932,165.4,94.965,0.282
115,187.932,165.4,94.981,0.306
116,187.932,165.4,94.999,0.324
117,187.932,165.4,95.019,0.331
118,187.932,165.4,95.034,0.331
119,187.932,165.4,95.048,0.325
120,187.932,165.4,95.068,0.321
121,187.932,165.4,95.084,0.32
122,187.932,165.4,95.099,0.324
123,187.932,165.4,95.116,0.329
124,187.932,165.4,95.135,0.329
125,187.932,165.4,95.151,0.326
126,187.932,165.4,95.166,0.318
127,187.932,165.4,95.186,0.49
128,187.932,165.4,95.202,0.826
129,187.932,165.4,95.217,1.191
130,187.932,165.4,95.233,1.178
131,187.932,165.4,95.252,1.199
132,187.932,165.4,95.267,1.267
133,187.932,165.4,95.281,1.284
134,187.932,165.4,95.302,1.214
135,187.932,165.4,95.318,1.156
136,187.932,165.4,95.334,1.143
137,187.932,165.4,95.351,1.13
138,187.932,165.4,95.371,1.12
139,187.932,165.4,95.386,1.109
140,187.932,165.4,95.401,1.093
141,187.932,165.4,95.419,1.09
142,187.932,165.4,95.436,1.089
143,187.932,165.4,95.451,1.056
144,187.932,165.4,95.466,1.007
145,187.932,165.4,95.487,0.99
146,187.932,165.4,95.503,0.983
147,187.932,165.4,95.519,0.968
148,187.932,165.4,95.536,0.951
149,187.932,165.4,95.556,0.945
150,187.932,165.4,95.571,0.945
151,187.932,165.4,95.585,0.921
152,187.932,165.4,95.604,0.913
153,187.932,165.4,95.621,0.99
154,187.932,165.4,95.635,1.099
155,187.932,165.4,95.653,1.13
156,187.932,165.4,95.673,1.115
157,187.932,165.4,95.688,1.107
158,187.932,165.4,95.704,1.102
159,187.932,165.4,95.723,1.085
160,187.932,165.4,95.739,1.072
161,187.932,165.4,95.754,1.044
162,187.932,165.4,95.77,1.007
163,187.932,165.4,95.789,0.998
164,187.932,165.4,95.804,0.996
165,187.932,165.4,95.819,0.971
166,187.932,165.4,95.839,0.727
167,187.932,165.4,95.857,0.113
168,187.932,165.4,95.873,-0.496
169,187.932,165.4,95.888,-0.586
170,187.932,165.4,95.908,-0.384
171,187.932,165.4,95.923,-0.387
172,187.932,165.4,95.938,-0.554
173,187.932,165.4,95.955,-0.592
174,187.932,165.4,95.973,-0.588
175,187.932,165.4,95.988,-0.587
176,187.932,165.4,96.003,-0.588
177,187.932,165.4,96.023,-0.589
178,187.932,165.4,96.039,-0.589
179,187.932,165.4,96.055,-0.588
180,187.932,165.4,96.072,-0.582
181,187.932,165.4,96.092,-0.58
182,187.932,165.4,96.107,-0.577
183,187.932,165.4,96.122,-0.573
184,187.932,165.4,96.141,-0.572
185,187.932,165.4,96.157,-0.572
186,187.932,165.4,96.172,-0.571
187,187.932,165.4,96.19,-0.568
188,187.932,165.4,96.209,-0.565
189,187.932,165.4,96.225,-0.563
190,187.932,165.4,96.24,-0.56
191,187.932,165.4,96.259,-0.558
192,187.932,165.4,96.275,-0.554
193,187.932,165.4,96.29,-0.549
194,187.932,165.4,96.307,-0.544
195,187.932,165.4,96.325,-0.539
196,187.932,165.4,96.34,-0.532
197,187.932,165.4,96.355,-0.519
198,187.932,165.4,96.376,-0.508
199,187.932,165.4,96.393,-0.498
200,187.932,165.4,96.408,-0.486
201,187.932,165.4,96.424,-0.469
202,187.932,165.4,96.444,-0.455
203,187.932,165.4,96.46,-0.433
204,187.932,165.4,96.474,-0.202
205,187.932,165.4,96.492,0.121
206,187.932,165.4,96.51,0.249
207,187.932,165.4,96.524,0.295
208,187.932,165.4,96.54,0.294
209,187.932,165.4,96.561,0.298
210,187.932,165.4,96.578,0.304
211,187.932,165.4,96.593,0.306
212,187.932,165.4,96.609,0.293
213,187.932,165.4,96.628,0.286
214,187.932,165.4,96.643,0.284
215,187.932,165.4,96.658,0.285
216,187.932,165.4,96.678,0.288
217,187.932,165.4,96.693,0.294
218,187.932,165.4,96.708,0.296
219,187.932,165.4,96.727,0.288
220,187.932,165.4,96.747,0.276
221,187.932,165.4,96.762,0.255
222,187.932,165.4,96.777,0.196
223,187.932,165.4,96.796,0.142
224,187.932,165.4,96.812,0.102
225,187.932,165.4,96.827,0.071
226,187.932,165.4,96.843,0.034
227,187.932,165.4,96.863,0.01
228,187.932,165.4,96.879,-0.011
229,187.932,165.4,96.894,-0.042
230,187.932,165.4,96.912,-0.077
231,187.932,165.4,96.932,-0.102
232,187.932,165.4,96.947,-0.126
233,187.932,165.4,96.962,-inf
234,187.932,165.4,96.981,-inf
235,187.932,165.4,96.997,-inf
236,187.932,165.4,97.012,-inf
237,187.932,165.4,97.028,-inf
238,187.932,165.4,97.048,-inf
239,187.932,165.4,97.064,-inf
240,187.932,165.4,97.08,-inf
241,187.932,165.4,97.098,-inf
242,187.932,165.4,97.118,-inf
243,187.932,165.4,97.132,-inf
244,187.932,165.4,97.147,-inf
245,187.932,165.4,97.166,-inf
246,187.932,165.4,97.181,-inf
247,187.932,165.4,97.196,-inf
248,187.932,165.4,97.214,-inf
249,187.932,165.4,97.232,-inf
250,187.932,165.4,97.248,-inf
251,187.932,165.4,97.264,-inf
252,187.932,165.4,97.284,-inf
253,187.932,165.4,97.3,-inf
254,187.932,165.4,97.315,-inf
255,187.932,165.4,97.332,-inf
256,187.932,165.4,97.351,-inf
257,187.932,165.4,97.366,-inf
258,187.932,165.4,97.38,-inf
259,187.932,165.4,97.4,-inf
260,187.932,165.4,97.417,-inf
261,187.932,165.4,97.433,-inf
262,187.932,165.4,97.449,-inf
263,187.932,165.4,97.469,-inf
264,187.932,165.4,97.485,-inf
265,187.932,165.4,97.499,-inf
266,187.932,165.4,97.5,-inf
267,0.0,0.0,0.0,-inf
268,0.0,0.0,0.0,-inf
